age,gender,race,income,credit_score,loan_approved,loan_amount
45,Male,White,85000,720,1,35000
32,Female,Black,62000,680,0,25000
28,Male,Asian,95000,750,1,45000
51,Female,White,78000,690,1,30000
39,Male,Hispanic,71000,710,1,28000
26,Female,Black,58000,665,0,22000
44,Male,White,92000,740,1,40000
35,Female,Asian,68000,695,1,26000
48,Male,Black,76000,685,0,32000
30,Female,White,88000,725,1,38000
41,Male,Hispanic,79000,700,1,31000
27,Female,Black,55000,660,0,20000
50,Male,White,98000,755,1,48000
33,Female,Asian,72000,705,1,29000
46,Male,Black,74000,680,0,30000
29,Female,White,91000,730,1,39000
38,Male,Hispanic,77000,695,1,30000
25,Female,Black,52000,650,0,18000
49,Male,White,96000,745,1,43000
34,Female,Asian,70000,700,1,27000
43,Male,Black,73000,675,0,29000
31,Female,White,89000,720,1,37000
40,Male,Hispanic,80000,705,1,32000
28,Female,Black,59000,670,0,23000
47,Male,White,94000,735,1,41000
36,Female,Asian,69000,690,1,26000
42,Male,Black,75000,680,0,31000
30,Female,White,87000,715,1,36000
37,Male,Hispanic,78000,700,1,30000
26,Female,Black,56000,655,0,21000
